sequence_index,timestamp,processId,threadId,parentProcessId,userId,mountNamespace,processName,hostName,eventId,eventName,stackAddresses,argsNum,returnValue,args,sus,evil,reconstruction_error,priority
1082,415.2499,7399,7399,7307,1001,4026531840,sshd,ip-10-100-1-217,3,close,[],1,0,"[{'name': 'fd', 'type': 'int', 'value': 10}]",1,1,19.979065504086176,CRITICAL
1081,414.82905,7399,7399,7307,1001,4026531840,sshd,ip-10-100-1-217,3,close,[],1,0,"[{'name': 'fd', 'type': 'int', 'value': 11}]",1,1,19.822306831291325,CRITICAL
1079,414.163704,7399,7399,7307,1001,4026531840,sshd,ip-10-100-1-217,1003,cap_capable,[],1,0,"[{'name': 'cap', 'type': 'int', 'value': 'CAP_SETUID'}]",1,1,19.767961945074646,CRITICAL
1266,457.471104,7534,7534,7527,1001,4026531840,bash,ip-10-100-1-217,56,clone,[],5,7538,"[{'name': 'flags', 'type': 'unsigned int', 'value': 'CLONE_CHILD_CLEARTID|CLONE_CHILD_SETTID'}, {'name': 'stack', 'type': 'void*', 'value': '0x0'}, {'name': 'parent_tid', 'type': 'int*', 'value': '0x0'}, {'name': 'child_tid', 'type': 'int*', 'value': '0x7FDE9AB980BF'}, {'name': 'tls', 'type': 'unsigned long', 'value': 0}]",1,1,18.4764427848103,CRITICAL
1371,461.061389,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,56,clone,[],5,7702,"[{'name': 'flags', 'type': 'unsigned int', 'value': 'CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID'}, {'name': 'stack', 'type': 'void*', 'value': '0x7F41F2955FB0'}, {'name': 'parent_tid', 'type': 'int*', 'value': '0x7F41F29569D0'}, {'name': 'child_tid', 'type': 'int*', 'value': '0x7F423BAF03E1'}, {'name': 'tls', 'type': 'unsigned long', 'value': 139921219479296}]",1,1,16.575476029130257,CRITICAL
1267,457.5173,7534,7534,7527,1001,4026531840,bash,ip-10-100-1-217,4,stat,[],2,0,"[{'name': 'pathname', 'type': 'const char*', 'value': '/tmp/.X25-unix'}, {'name': 'statbuf', 'type': 'struct stat*', 'value': '0x7FFDAB4A0D50'}]",1,1,15.510915275280896,CRITICAL
1264,457.418308,7534,7534,7527,1001,4026531840,bash,ip-10-100-1-217,1005,security_file_open,[],4,0,"[{'name': 'pathname', 'type': 'const char*', 'value': '/usr/lib/locale/C.UTF-8/LC_TIME'}, {'name': 'flags', 'type': 'int', 'value': 'O_RDONLY|O_LARGEFILE'}, {'name': 'dev', 'type': 'dev_t', 'value': 211812353}, {'name': 'inode', 'type': 'unsigned long', 'value': 5896}]",1,1,15.397417560983381,CRITICAL
532,411.452671,7316,7316,1,1001,4026531840,systemd,ip-10-100-1-217,3,close,[],1,0,"[{'name': 'fd', 'type': 'int', 'value': 9}]",1,0,12.30985120958558,CRITICAL
1352,460.984405,7552,7552,7548,1001,4026531840,tsm,ip-10-100-1-217,3,close,[140346854185351],1,0,"[{'name': 'fd', 'type': 'int', 'value': 255}]",1,1,12.171118785884383,CRITICAL
1288,457.545528,7543,7543,7534,1001,4026531840,tar,ip-10-100-1-217,3,close,[],1,0,"[{'name': 'fd', 'type': 'int', 'value': 3}]",1,1,12.047722700216754,CRITICAL
1289,457.546338,7543,7543,7534,1001,4026531840,tar,ip-10-100-1-217,1005,security_file_open,"[140673645211307, 4992331448458882674]",4,0,"[{'name': 'pathname', 'type': 'const char*', 'value': '/tmp/.X25-unix/dota3.tar.gz'}, {'name': 'flags', 'type': 'int', 'value': 'O_RDONLY|O_LARGEFILE'}, {'name': 'dev', 'type': 'dev_t', 'value': 211812353}, {'name': 'inode', 'type': 'unsigned long', 'value': 61056}]",1,1,12.041250402188679,CRITICAL
1151,414.936116,7426,7426,7425,1001,4026531840,w,ip-10-100-1-217,3,close,[],1,0,"[{'name': 'fd', 'type': 'int', 'value': 3}]",1,1,11.079138228902993,CRITICAL
1150,414.934286,7426,7426,7425,1001,4026531840,w,ip-10-100-1-217,5,fstat,[],2,0,"[{'name': 'fd', 'type': 'int', 'value': 3}, {'name': 'statbuf', 'type': 'struct stat*', 'value': '0x7FFE5DD5C7C0'}]",1,1,11.035503441346666,CRITICAL
1374,461.081757,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,15,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,11.033629173825663,CRITICAL
7259,496.494592,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,22,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,11.032311115493638,CRITICAL
4146,472.493663,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,28,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,11.031195455788033,CRITICAL
1375,461.083386,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,40,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,11.0272695664612,CRITICAL
7260,496.495309,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,47,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,11.023836589993296,CRITICAL
4147,472.494378,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,53,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,11.020224546303027,CRITICAL
4145,472.49292,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,42,connect,[],3,-115,"[{'name': 'sockfd', 'type': 'int', 'value': 803}, {'name': 'addr', 'type': 'struct sockaddr*', 'value': ""{'sin_addr': '192.168.11.196','sa_family': 'AF_INET','sin_port': '22'}""}, {'name': 'addrlen', 'type': 'int', 'value': 16}]",1,1,11.013589253983493,CRITICAL
1376,461.08415,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,65,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,11.011149974505782,CRITICAL
7261,496.496019,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,72,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,11.004718243564001,CRITICAL
4148,472.497765,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,78,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.998637679483041,CRITICAL
4111,472.436823,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,753,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.996096091106795,CRITICAL
7224,496.421401,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,747,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.991401105376637,CRITICAL
1377,461.084892,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,90,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.986639906786701,CRITICAL
1403,461.148856,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,740,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.986064676016486,CRITICAL
7262,496.496735,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,97,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.979843250528171,CRITICAL
4110,472.430091,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,728,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.977274154864583,CRITICAL
4149,472.498496,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,103,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.974136816931834,CRITICAL
7223,496.420682,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,722,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.973048277107248,CRITICAL
1402,461.142222,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,715,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.968260213532488,CRITICAL
1378,461.085627,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,115,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.963051934046828,CRITICAL
4109,472.429368,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,703,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.960407244328167,CRITICAL
7263,496.510378,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,122,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.9567882708469,CRITICAL
7222,496.419951,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,697,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.956649969320553,CRITICAL
7225,496.422114,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,772,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.954106761222722,CRITICAL
1401,461.141451,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,690,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.952409224929061,CRITICAL
4150,472.499214,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,128,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.951537661090892,CRITICAL
4108,472.428657,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,678,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.945130796538352,CRITICAL
7221,496.413874,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,672,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.941401603432535,CRITICAL
1379,461.086374,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,140,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.941389104478489,CRITICAL
4112,472.437543,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,778,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.938751092720729,CRITICAL
1400,461.140713,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,665,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.93697410639704,CRITICAL
7264,496.511102,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,147,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.935760084877595,CRITICAL
4151,472.499937,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,153,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.931118025438765,CRITICAL
4107,472.427935,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,653,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.929191778205743,CRITICAL
7220,496.413132,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,647,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.925208831060797,CRITICAL
1380,461.09126,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,165,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.922340510523567,CRITICAL
1399,461.139956,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,640,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.92048324215311,CRITICAL
7265,496.514941,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,172,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.917531692961134,CRITICAL
4106,472.427211,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,628,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.912550712038515,CRITICAL
7219,496.412417,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,622,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.908749025133798,CRITICAL
1381,461.091995,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,190,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.906196023909745,CRITICAL
1398,461.138042,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,615,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.904451969395105,CRITICAL
7266,496.515668,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,197,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.902103336227363,CRITICAL
4089,472.402438,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,"[139922445899175, 1585267077424349184]",3,203,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.898713335793556,CRITICAL
4105,472.426468,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,603,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.897432951059947,CRITICAL
7218,496.406395,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,597,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.894086738615131,CRITICAL
1382,461.092737,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,215,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.892259484683626,CRITICAL
1397,461.133823,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,590,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.890322538147593,CRITICAL
7267,496.516391,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,222,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.888696456701107,CRITICAL
7226,496.428403,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,797,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.88629762639817,CRITICAL
4090,472.405247,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,228,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.885759915456,CRITICAL
4088,472.401799,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,3,close,[],1,0,"[{'name': 'fd', 'type': 'int', 'value': 779}]",1,1,10.885553642161813,CRITICAL
4104,472.42574,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,41,socket,[],3,578,"[{'name': 'domain', 'type': 'int', 'value': 'AF_INET'}, {'name': 'type', 'type': 'int', 'value': 'SOCK_STREAM'}, {'name': 'protocol', 'type': 'int', 'value': 0}]",1,1,10.884216300778407,CRITICAL
